Sample ID,Date,Time,A/S Loc,Initial Sample Vol,Aliquot Vol.,Analyte Name,Elem,Wavelength,Int (Corr),Conc (Calib),Conc (Samp),Repl No1,Date1,Time1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1,Repl No2,Date2,Time2,Int (Corr)2,Conc (Calib)2,Conc (Samp)2,Repl No3,Date3,Time3,Int (Corr)3,Conc (Calib)3,Conc (Samp)3,Repl No4,Date4,Time4,Int (Corr)4,Conc (Calib)4,Conc (Samp)4,Repl No5,Date5,Time5,Int (Corr)5,Conc (Calib)5,Conc (Samp)5
27 (Blaisdell 1),4/20/17,10:51:02 AM,127, , ,Pb 220.353,Pb,220.353,5078.333303,36.58108462,365.8108462,1,4/20/17,10:51:30 AM,5224.26048,37.63225123,376.3225123,2,4/20/17,10:51:31 AM,5014.782496,36.12330501,361.2330501,3,4/20/17,10:51:32 AM,5101.904511,36.75087662,367.5087662,4,4/20/17,10:51:34 AM,5073.685578,36.54760536,365.4760536,5,4/20/17,10:51:35 AM,4977.03345,35.85138488,358.5138488
28 (Clayton 3),4/20/17,10:51:46 AM,128, , ,Pb 220.353,Pb,220.353,4362.338679,31.42351454,314.2351454,1,4/20/17,10:52:14 AM,4335.977997,31.23362894,312.3362894,2,4/20/17,10:52:15 AM,4318.550722,31.10809393,311.0809393,3,4/20/17,10:52:16 AM,4433.60795,31.93689305,319.3689305,4,4/20/17,10:52:17 AM,4385.016843,31.58687361,315.8687361,5,4/20/17,10:52:18 AM,4338.539884,31.25208315,312.5208315
29 (Wheeler 4),4/20/17,10:52:29 AM,129, , ,Pb 220.353,Pb,220.353,4772.602783,34.37879632,343.7879632,1,4/20/17,10:52:57 AM,4760.973152,34.29502385,342.9502385,2,4/20/17,10:52:58 AM,4897.175849,35.27614149,352.7614149,3,4/20/17,10:52:59 AM,4816.557897,34.69542101,346.9542101,4,4/20/17,10:53:00 AM,4597.274397,33.11584209,331.1584209,5,4/20/17,10:53:02 AM,4791.032623,34.51155317,345.1155317
30 (Marston 4),4/20/17,10:53:13 AM,130, , ,Pb 220.353,Pb,220.353,5535.189552,39.8719866,398.719866,1,4/20/17,10:53:41 AM,5464.310388,39.36141816,393.6141816,2,4/20/17,10:53:42 AM,5466.224036,39.37520286,393.7520286,3,4/20/17,10:53:43 AM,5736.685638,41.3234363,413.234363,4,4/20/17,10:53:44 AM,5442.859468,39.20689937,392.0689937,5,4/20/17,10:53:46 AM,5565.86823,40.09297629,400.9297629
31 (Marston 3),4/20/17,10:53:57 AM,131, , ,Pb 220.353,Pb,220.353,4818.48528,34.70930466,347.0930466,1,4/20/17,10:54:25 AM,4648.14819,33.48230455,334.8230455,2,4/20/17,10:54:26 AM,4914.659909,35.40208554,354.0208554,3,4/20/17,10:54:27 AM,4865.081047,35.04495094,350.4495094,4,4/20/17,10:54:29 AM,4844.680129,34.8979957,348.979957,5,4/20/17,10:54:30 AM,4819.857126,34.71918656,347.1918656
32 (Jumpa 3),4/20/17,10:54:41 AM,132, , ,Pb 220.353,Pb,220.353,2191.002244,15.78258726,157.8258726,1,4/20/17,10:55:09 AM,2149.185806,15.48136823,154.8136823,2,4/20/17,10:55:10 AM,2141.856846,15.42857506,154.2857506,3,4/20/17,10:55:11 AM,2197.568064,15.82988325,158.2988325,4,4/20/17,10:55:12 AM,2186.577808,15.75071644,157.5071644,5,4/20/17,10:55:14 AM,2279.822696,16.42239333,164.2239333
33 (Cahuilla 5),4/20/17,10:55:27 AM,133, , ,Pb 220.353,Pb,220.353,5128.793223,36.9445658,369.445658,1,4/20/17,10:55:55 AM,5344.77975,38.50039543,385.0039543,2,4/20/17,10:55:56 AM,5060.665446,36.45381661,364.5381661,3,4/20/17,10:55:57 AM,4990.014757,35.94489396,359.4489396,4,4/20/17,10:55:59 AM,5116.732823,36.85769035,368.5769035,5,4/20/17,10:56:00 AM,5131.773338,36.96603266,369.6603266
34 (Wheeler 5),4/20/17,10:56:11 AM,134, , ,Pb 220.353,Pb,220.353,5181.262012,37.3225176,373.225176,1,4/20/17,10:56:39 AM,5140.38411,37.02805918,370.2805918,2,4/20/17,10:56:40 AM,5222.194653,37.61737033,376.1737033,3,4/20/17,10:56:41 AM,5221.341118,37.61122201,376.1122201,4,4/20/17,10:56:42 AM,5268.095714,37.94801239,379.4801239,5,4/20/17,10:56:43 AM,5054.294464,36.40792411,364.0792411
35 (Clayton 5),4/20/17,10:56:55 AM,135, , ,Pb 220.353,Pb,220.353,3127.453663,22.52818794,225.2818794,1,4/20/17,10:57:23 AM,3106.752179,22.37906762,223.7906762,2,4/20/17,10:57:24 AM,3083.888991,22.21437574,222.1437574,3,4/20/17,10:57:25 AM,3167.898522,22.81952699,228.1952699,4,4/20/17,10:57:26 AM,3144.002745,22.64739701,226.4739701,5,4/20/17,10:57:28 AM,3134.725877,22.58057235,225.8057235
36 (Wheeler 1),4/20/17,10:57:39 AM,136, , ,Pb 220.353,Pb,220.353,4671.529815,33.65073091,336.5073091,1,4/20/17,10:58:07 AM,4704.109954,33.88541752,338.8541752,2,4/20/17,10:58:08 AM,4768.162383,34.3468105,343.468105,3,4/20/17,10:58:09 AM,4502.719651,32.43472981,324.3472981,4,4/20/17,10:58:11 AM,4710.884718,33.93421862,339.3421862,5,4/20/17,10:58:12 AM,4671.772367,33.65247811,336.5247811
37 (Wheeler 3),4/20/17,10:58:23 AM,137, , ,Pb 220.353,Pb,220.353,5736.282699,41.32053378,413.2053378,1,4/20/17,10:58:51 AM,5592.236713,40.28291808,402.8291808,2,4/20/17,10:58:52 AM,5811.766739,41.86427282,418.6427282,3,4/20/17,10:58:53 AM,5864.537259,42.2443981,422.443981,4,4/20/17,10:58:54 AM,5624.809406,40.51755105,405.1755105,5,4/20/17,10:58:56 AM,5788.063378,41.69352888,416.9352888
blank,4/20/17,10:59:07 AM,138, , ,Pb 220.353,Pb,220.353,19.26891769,0.138801033,1.38801033,1,4/20/17,10:59:40 AM,19.28449378,0.138913233,1.389132333,2,4/20/17,10:59:46 AM,-3.478867815,-0.025059552,-0.250595521,3,4/20/17,10:59:52 AM,38.90724435,0.280263054,2.802630535,4,4/20/17,10:59:58 AM,31.78160896,0.228934506,2.289345061,5,4/20/17,11:00:05 AM,9.850109153,0.070953924,0.709539242
10 ppm,4/20/17,11:00:16 AM,139, , ,Pb 220.353,Pb,220.353,3506.25186,25.25680934,252.5680934,1,4/20/17,11:00:44 AM,3525.631622,25.39640883,253.9640883,2,4/20/17,11:00:45 AM,3635.08586,26.18484757,261.8484757,3,4/20/17,11:00:47 AM,3458.325872,24.91158099,249.1158099,4,4/20/17,11:00:48 AM,3481.894614,25.08135522,250.8135522,5,4/20/17,11:00:49 AM,3430.32133,24.70985407,247.0985407
50 ppm,4/20/17,11:01:00 AM,140, , ,Pb 220.353,Pb,220.353,165856.6896,1194.72615,11947.2615,1,4/20/17,11:01:28 AM,164648.3135,1186.021777,11860.21777,2,4/20/17,11:01:29 AM,164886.8309,1187.739905,11877.39905,3,4/20/17,11:01:30 AM,165153.1138,1189.658038,11896.58038,4,4/20/17,11:01:32 AM,168687.9395,1215.120675,12151.20675,5,4/20/17,11:01:33 AM,165907.2501,1195.090356,11950.90356
100 ppm,4/20/17,11:01:44 AM,141, , ,Pb 220.353,Pb,220.353,352238.898,2537.305089,25373.05089,1,4/20/17,11:02:12 AM,347285.6334,2501.62492,25016.2492,2,4/20/17,11:02:13 AM,356597.367,2568.700729,25687.00729,3,4/20/17,11:02:14 AM,349727.4558,2519.214256,25192.14256,4,4/20/17,11:02:16 AM,349748.472,2519.365644,25193.65644,5,4/20/17,11:02:17 AM,357835.5617,2577.619897,25776.19897
